"productName","arabicName","productDescription","ardescription","productSubCategoryId","productCategoryId","productPrice","productMrp"
"A 12-watt ball elbow lamp that saves electricity with white light that fills your home with bright and beautiful lighting.","مصباح كوع كروية 12 واط الموفرة في استهلاك الكهرباء مع إضاءة بيضاء تملأ بيتك باضاءة مشرقة وجميلة.","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet rays or infrared rays. It is safe and good for your children and your family<br>The price is excellent and the size is large<br>The price is very reasonable<br>Good quality and good lighting<br>The lighting is very comfortable<br> The best thing about the store is the ease of dealing and purchasing","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>السعر ممتاز ومقاسه كبير<br>السعر جدا مناسب<br>جودة طيبة واضاءة جيده<br>الانارة جدا مريحه<br>أحلى ما في المتجر سهوله التعامل والشراء","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","2.52","4.08"
"9W E27 cream solar globe bulb","لمبة كروي شمسي كريمي 9 واط E27","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","2.30","3.72"
"Energy saving 24 watt ball elbow bulb with beautiful soft white E27 light.","لمبة كوع كروية 24 واط الموفرة في استهلاك الكهرباء مع إضاءة بيضاء هادئة جميلة E27.","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet or infrared rays. It is safe and good for your children and your family.<br>It has been with me for a long time and its price, along with its lighting, is special.<br>It has good lighting and the speed of delivery is excellent.<br>I advise everyone to buy from them. High credibility, trust, and responsiveness to customers","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>مستمره معاي من فترة طويله وسعرها مع اضائتها مميز<br>انارتها كويس وسرعة التوصيل مميزه عندكم<br>أنصح الكل يشتري من عندهم مصداقية وثقة عالية ومتجاوبين مع الزبائن","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","4.96","8.03"
"Energy saving 15W ball elbow bulb with bright, bright E27 white light.","لمبة كوع كروية 15 واط الموفرة في استهلاك الكهرباء مع إضاءة بيضاء براقة ومشرقة E27.","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet or infrared rays. It is safe and good for your children and your family.<br>My bulb works perfectly.<br>Excellent and the sweet one comes in many colors.","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>لمبة شغاله عندي بشكل ممتاز<br>ممتازة والحلو في الوان كثيرة منها","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","3.09","5.00"
"9-watt ball elbow bulb that saves electricity with yellow lighting, practical design and high quality E27.","لمبة كوع كروية 9 واط الموفرة في استهلاك الكهرباء مع إضاءة صفراء بتصميم عملي وجودة عالية E27.","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet rays or infrared rays. It is safe and good for your children and your family.<br>It has good lighting.<br>A distinctive lamp that gives strong light.<br>A practical lamp that I used and saves electricity.<br>Beautiful","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>اضائتها جيده<br>لمبة مميزة وتعطي إضاءة قوية<br>لمبه عمليه استخدمتها وموفره للكهرباء<br>جميل","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","2.30","3.72"
"Ball bulb, 15 watt solar cream color","لمبة كروي لون الانارة كريمي شمسي 15 واط","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","3.09","5.00"
"Bulb, 3 cylindrical lights, 5 watts, E14","لمبة 3 اضاءات اسطوانية 5 واط E14","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","4.60","7.44"
"Yellow capsule bulb 9 watt E27","لمبة اصفر كبسولة 9 واط E27","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet or infrared rays. It is safe and good for your children and your family<br>The best LED bulb<br>Distinctive brand","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>افضل لمبة ليد<br>ماركة مميزة","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","3.67","5.94"
"9-watt ball elbow bulb that saves electricity with white light, practical design and high quality E27.","لمبة كوع كروية 9 واط الموفرة في استهلاك الكهرباء مع إضاءة بيضاء بتصميم عملي وجودة عالية E27.","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet or infrared rays. It is safe and good for your children and your family.<br>The bulb matches the specifications exactly.<br>Its light is sweet.<br>The bulb is easy to install and fits all spaces.<br>Its lighting is strong and comfortable, God willing. <br>LED ceiling bulbs are among the best bulbs","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>اللمبة مطابقة للمواصفات بالضبط<br>نورها حلو<br>لمبة سهلة التركيب وتناسب جميع المساحات<br>اضائتها قوية ومريحه ماشاء الله<br>لمبات سقف ليد من افضل للمبات","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","2.30","3.72"
"Solar light bulb, 15 watts, E27","لمبة لون الانارة شمسي 15 واط E27","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","5.97","9.66"
"Press holder with 10 cm wire, E27 base","كبس هولدر مع سلك 10 سم قاعدة E27","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","1.73","2.80"
"Globe bulb, cream color, solar, 18 watts","لمبة كروي لون الانارة كريمي شمسي 18 واط","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","3.89","6.29"
"Energy saving 5W ball elbow light with soft white light that is easy on the eyes.","مصباح كوع كروية 5 واط الموفرة في استهلاك الكهرباء مع إضاءة بيضاء هادئة ومريحة للعين.","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet rays or infrared rays. It is safe and good for your children and your family<br>A bulb with a quiet and sweet design<br>Nice lighting<br>A beautiful bulb<br>A light bulb and a nice illumination<br>It has a long life And it won't break","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>لمبه تصميمه هادئ وحلو<br>إضاءة حلوة<br>لمبة جميلة<br>لمبه خفيفه وانارءة حلوه<br>عمرها طويل وما تنكسر","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","1.37","2.22"
"Multi-colored RGB globe bulb with 5-watt E27 remote control.","لمبة كروي ملون RGB متعددة الالوان مع ريموت تحكم 5 واط E27.","This smart LED bulb from Hummer combines excellent performance and smart control. Here are its features in detail:","هذا المصباح LED الذكي من همر يجمع بين الأداء الممتاز والتحكم الذكي،<br>وإليك ميزاته بالتفصيل:<br>جربتها عندي في البيت طالعه مرة كشخه والتحكم فيه مرة سهل<br>عملية وممتازة","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","6.90","11.16"
"Yellow bulb 12 watt E27","لمبة اصفر 12 واط E27","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet or infrared rays. It is safe and good for your children and your family<br>The bulb has an excellent rating.","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>لمبة تقييمي لها ممتاز","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","5.18","8.38"
"White capsule bulb, 9 watts, E27","لمبة ابيض كبسولة 9 واط E27","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other hazardous materials<br>- Does not transmit ultraviolet or infrared rays. Safe and good for your children and family<br>There are no comments for this product.","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","3.67","5.94"
"Solar bulb 12 watt E27","لمبة شمسي 12 واط E27","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other hazardous materials<br>- Does not transmit ultraviolet or infrared rays. Safe and good for your children and family<br>There are no comments for this product.","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","5.18","8.38"
"A small bulb, 9 watts, with a white lighting color, E14, is part of the best group of small bulbs with a very soft light, designed for the comfort of your eyes, and with a two-year warranty.","لمبه صغيره 9 واط كبسولة لون إنارة أبيض E14 ضمن أفضل مجموعة لمبات صغيرة بإضاءة ناعمة للغاية مصممة لراحة عينيك وبضمان سنتين.","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet or infrared rays. It is safe and good for your children and your family.<br>The bulb complies with the specifications.<br>The bulb has a practical and easy design.<br>It covers a large area.<br>Excellent.<br>The product is the same. The picture is in excellent condition","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>لمبة متوافقة مع المواصفات<br>اللمبة تصميمها عملي وسهل<br>تغطي مساحه كبيره<br>ممتاز<br>المنتج نفس الصورة وفي حالة ممتازة","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","6.90","11.16"
"Solar capsule lighting bulb, 9 watts, E27","لمبة لون الانارة شمسي كبسولة 9 واط E27","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other hazardous materials<br>- Does not transmit ultraviolet rays or infrared rays, safe and good for your children and family","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","3.67","5.94"
"Yellow capsule lighting, 9 watts, E14, bright and beautiful lighting.","اضاءة صفراء كبسولة 9 واط E14 اضاءة مشرقة وجميلة.","The LED light bulb provides a soft and diffused level of light to create a warm and inviting atmosphere, ideal for chandeliers, garden lighting, wall sconces, wall lighting and all kinds, creating a cozy and pleasant atmosphere.<br> <br>- Designed to comfort your eyes Very soft and exudes a lot of joy<br> - Ideal for general and commercial room lighting High quality LED bulbs<br>- Saves up to 80% energy compared to a regular bulb<br>- Pure and elegant design is the perfect alternative to disposable traditional bulbs <br>- Environmentally friendly product that contains no mercury or Any other dangerous materials<br>- It does not transmit ultraviolet or infrared rays. It is safe and good for your children and your family.<br>A bulb that adjusts the lighting precisely.<br>The bulb is practical and easy to install.<br>The lighting covers most of my space in the store.<br>God willing Its design and shape are distinct from other bulbs. The bulb is actually the lowest price in Saudi Arabia","يوفر لمبة إضاءة LED مستوى ناعم ومنتشر من الضوء لخلق جو دافئ وجذاب، مثالية للثريات وإضاءة الحديقة وشمعدان الحائط وإضاءة الحائط وكافة الأنواع، مما يخلق جوًا مريحًا ولطيفًا.<br> <br>- مصممة لراحة عينيك ناعمة للغاية تطفي كثير من البهجة<br>- مثالي لإضاءة الغرفة العامة والتجارية مصابيح LED عالية الجودة<br>- توفر ما يصل إلى 80% من الطاقة مقارنةً بالمصباح العادي<br>- تصميم نقي وأنيق يعتبر البديل المثالي للمصابيح التقليدية المستهلكة <br>- منتج صديق للبيئة لا يحتوي على زئبق أو أي مواد خطرة أخرى<br>- لا تنفذ أشعته فوق البنفسجية أو أشعة تحت الحمراء امنة وجيدة لأطفالك وعائلتك<br>لمبة بتضبط الإضاءة بدقة<br>اللمبة عملية وسهلة التركيب<br>الااضاءة غطت اغلب المكان عندي في المحل<br>ماشاء الله تصميمها وشكله مميز عن اللمبات الثانية<br>لمبة فعلا أقل سعر بالسعودية","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","6.90","11.16"
"Colored unit lens bulb with remote control, E27","لمبة عدسة وحدة ملون أبو ريموت قلويز E27","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","12.65","20.47"
"White globe bulb 9 watt E27","لمبة كروي أبيض 9 واط E27","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5d5d58dce04055a05f3f","664a3d90b1c689cd118f5d34","9.35","15.13"
