"productName","arabicName","productDescription","ardescription","productSubCategoryId","productCategoryId","productPrice","productMrp"
"Frame spot light, black and white, moving object, anti-glare, 7 cm, strong material, with a special price.","فريم سبوت لايت اسود ابيض جرم متحرك ضد التوهج 7 سم خامة قوية مع سعر مميز.","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","2.30","3.72"
"16.5/8.5 inch black aluminum removable anti-glare dual spot frame","إطار جرم سبوت ثنائي اسود المنيوم متحرك مانع للتوهج 16.5/8.5","- It fits well with all types and needs of interior lighting <br>- Creates more consistency in window lighting to give you glare-free light <br>- Design that gives perfect heat transmittance<br>- Safe and sound materials<br>- Made of high quality materials Quality<br>- The ideal solution for lamp replacement <br>There are no reviews for this product.","- يتناسب بشكل جيد مع جميع أنواع واحتياجات الإضاءة الداخلية <br>- يخلق مزيد من التناسق في الانارة النافذة ليمنحك ضوء خالي من الوهج <br>- تصميم يمنح نفاذية حرارة مثالية<br>- مواد امنة وسليمة<br>- مصنوعة من مواد عالية الجودة<br>- الحل المثالي لتبديل المصابيح <br>لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","15.53","25.13"
"Rose moving spotlight frame, white cover, 7 cm, anti-glare","إطار جرم سبوت متحرك روز غطاء ابيض 7 سم مانع للتوهج","- It fits well with all types and needs of interior lighting <br>- Creates more consistency in window lighting to give you glare-free light <br>- Design that gives perfect heat transmittance<br>- Safe and sound materials<br>- Made of high quality materials Quality<br>- The ideal solution for lamp replacement <br>There are no reviews for this product.","- يتناسب بشكل جيد مع جميع أنواع واحتياجات الإضاءة الداخلية <br>- يخلق مزيد من التناسق في الانارة النافذة ليمنحك ضوء خالي من الوهج <br>- تصميم يمنح نفاذية حرارة مثالية<br>- مواد امنة وسليمة<br>- مصنوعة من مواد عالية الجودة<br>- الحل المثالي لتبديل المصابيح <br>لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","4.60","7.44"
"Black aluminum triple spot frame, anti-glare, movable, 8.5/25 cm","إطار جرم سبوت ثلاثي اسود المينيوم متحرك مانع للتوهج 8.5/25 سم","- It fits well with all types and needs of interior lighting <br>- Creates more consistency in window lighting to give you glare-free light <br>- Design that gives perfect heat transmittance<br>- Safe and sound materials<br>- Made of high quality materials Quality<br>- The ideal solution for lamp replacement <br>There are no reviews for this product.","- يتناسب بشكل جيد مع جميع أنواع واحتياجات الإضاءة الداخلية <br>- يخلق مزيد من التناسق في الانارة النافذة ليمنحك ضوء خالي من الوهج <br>- تصميم يمنح نفاذية حرارة مثالية<br>- مواد امنة وسليمة<br>- مصنوعة من مواد عالية الجودة<br>- الحل المثالي لتبديل المصابيح <br>لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","22.64","36.63"
"Flashlight body, black with anti-glare moving white, 14 cm","جرم كشاف لون اسود مع ابيض متحرك مانع للتوهج 14 سم","","","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","8.63","13.96"
"Black flashlight with black 14 cm","جرم كشاف اسود مع اسود 14 سم","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","7.41","11.99"
"Flashlight body, black, anti-glare, movable, 14 cm","جرم كشاف لون اسود متحرك مانع للتوهج 14 سم","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","8.63","13.96"
"Single moving spotlight, aluminum lamp frame, 10 cm, GU10, black, mount size: 18 cm","جرم كشاف مفرد متحرك المينيوم اطار اللمبة 10 سم GU10 اسود مقاس الدفن 18 سم","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","8.97","14.51"
"A single, white, non-glare moving spotlight, 14 cm","جرم كشاف مفرد ابيض متحرك مانع للتوهج 14 سم","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","4.60","7.44"
"Black and white flashlight, 14 cm","جرم كشاف اسود مع ابيض 14 سم","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","7.41","11.99"
"Black anti-glare moving flashlight body, 7 cm","جرم كشاف اسود متحرك مانع للتوهج 7 سم","there are no comments for this product.","لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","2.88","4.66"
"Aluminum anti-glare moving spotlight, 7 cm","جرم اسبوت متحرك مانع للتوهج المنيوم 7 سم","- It fits well with all types and needs of interior lighting <br>- Creates more consistency in window lighting to give you glare-free light <br>- Design that gives perfect heat transmittance<br>- Safe and sound materials<br>- Made of high quality materials Quality<br>- The ideal solution for lamp replacement <br>There are no reviews for this product.","- يتناسب بشكل جيد مع جميع أنواع واحتياجات الإضاءة الداخلية <br>- يخلق مزيد من التناسق في الانارة النافذة ليمنحك ضوء خالي من الوهج <br>- تصميم يمنح نفاذية حرارة مثالية<br>- مواد امنة وسليمة<br>- مصنوعة من مواد عالية الجودة<br>- الحل المثالي لتبديل المصابيح <br>لا يوجد أي تعليقات لهذا المنتج.","664a5cc758dce04055a05f31","664a3d90b1c689cd118f5d34","13.80","22.33"
