SKU,name,price,short_description,image_large
242.388.00.1,صمام تعبئة -وصلة امداد المياة 3/8 بوصة ,100.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/740f143b-8880-445d-9e10-5ff9156008ad-thumbnail-1000x1000-70.jpg
136.723.00.3,عوامة ,60.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/b0481093-4417-4b93-9e53-6474d308d82f-thumbnail-1000x1000-70.jpg
244.933.00.1,صمام تدفق 12 سم ,100.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e8ac94d4-1690-4077-9634-5aedf26743cb-thumbnail-1000x1000-70.jpg
224.823.00.1,حامل مكينة  ,30.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/8ce6d41f-7466-4b28-aedd-3bd26381dc38-thumbnail-1000x1000-70.jpg
111.815.00.1,مثبت حائط ,100.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/c9c8e8a8-75d1-49df-bc1a-213d26f354f5-thumbnail-1000x1000-70.jpg
115.883,ضغاط سيجما مربع مع خط ديكور 115883,300.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e07ca5a8-4c0f-4349-94d0-a111b92a269b-thumbnail-1000x1000-70.jpg
115-SE,ضغاط سيجما مربع بلاستيك مزدوج,390.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/81b39369-8fda-4a63-b55f-46aba3007bf8-thumbnail-1000x1000-70.jpg
115-S,ضغاط سيجما دائري بلاستيك مزدوج ,250.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/fb850f93-a9e9-4bea-afd9-3bb430c921ce-thumbnail-1000x1000-70.jpg
115., ضغاط ألفا مربع بلاستيك مزدوج ,200.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/15b26984-710b-4675-8234-0088a01cb266-thumbnail-1000x1000-70.jpg
115,ضغاط ألفا دائري بلاستيك مزدوج ,200.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/fd55fcf3-4523-4e2f-ab0c-a5a21b208d21-thumbnail-1000x1000-70.jpg
458.234.00.2,سيفون مخفي ألفا 458.234.00.2,599.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/73757422-1a42-4b22-8592-1a055d24a581-thumbnail-1000x1000-70.jpg
111.912.00.5,سيفون مخفي سيجما 111.912.00.5,699.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/a7ce87a7-d806-4147-b47f-997552e2a5ef-thumbnail-1000x1000-70.jpg
