SKU,name,price,short_description,image_large
PR20-CH,خلاط مغسلة طويل كروم بلوتو + هراب - PR20-CH,135.0,<b>خلاط مغسلة طويل كروم </b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/55da7253-066d-43a8-975f-3b3b8944dacf-thumbnail-1000x1000-70.jpg
PR20-1-CH,خلاط مغسلة طويل كروم بلوتو + هراب  - PR20-1-CH,135.0,خلاط مغسلة طويل كروم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e68f1b2f-7125-4deb-9224-b5bb785fe189-thumbnail-1000x1000-70.jpg
PR20-1-G,خلاط مغسلة طويل ذهبي بلوتو + هراب - PR20-1-G,135.0,خلاط مغسلة طويل ذهبي,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/c101ed7f-c72b-46b9-8552-cb0fe120fd69-thumbnail-1000x1000-70.jpg
PR20-1-W,خلاط مغسلة طويل أبيض بلوتو + هراب - PR20-1-W,135.0,<b>خلاط مغسلة طويل أبيض </b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/69e498af-36ff-4a38-bc0e-f19996f00ca2-thumbnail-1000x1000-70.jpg
PR20-2-CH,خلاط مغسلة طويل كروم بلوتو + هراب - PR20-2-CH,135.0,<b>خلاط مغسلة طويل  كروم</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/6777cb3a-7950-4837-9970-c2dd7b56074f-thumbnail-1000x1000-70.jpg
PR10-W,خلاط مغسلة أبيض قصير + هراب - PR10-W,115.0,خلاط مغسلة قصير,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/c206c53f-0b78-4c18-9bc8-800edfe84c8a-thumbnail-1000x1000-70.jpg
PR20-B,خلاط مغسلة أسود طويل - PR20-B,135.0,<b>خلاط مغسلة طويل</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/2684c54b-a4a8-4691-ac03-bf3a4b607ffa-thumbnail-1000x1000-70.jpg
PR20-W,خلاط مغسلة أبيض طويل  +هراب - PR20-W,135.0,<span></span>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/2b9f2993-2378-40dc-b14d-71ff54263deb-thumbnail-1000x1000-70.jpg
PR10-1-G,خلاط مغسلة ذهبي قصير - PR10-1-G,115.0,خلاط مغسلة قصير,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/3be8b7be-4a3f-4a70-b5c9-9164071d1eb7-thumbnail-1000x1000-70.jpg
PR10-1-W,خلاط مغسلة أبيض قصير + هراب - PR10-1-W,115.0,خلاط مغسلة قصير,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/1f868179-c23c-42a9-8a9f-65663b9ce1cb-thumbnail-1000x1000-70.jpg
PR20-2-G,خلاط مغسلة ذهبي طويل - PR20-2-G,135.0,خلاط مغسلة ذهبي طويل,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/404afd13-fd6e-4dfb-b01d-031a2865f149-thumbnail-1000x1000-70.jpg
PR20-2-W,خلاط مغسلة أبيض طويل + هراب - PR20-2-W,135.0,خلاط مغسلة أبيض طويل + هراب,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/52b35d7d-344c-48c4-96bc-cd3cedb4ebe7-thumbnail-1000x1000-70.jpg
PR30-W,خلاط مغسلة أبيض قصير - PR30-W,115.0,<b>خلاط مغسلة أبيض قصير</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/240ccf2b-4282-44f0-823a-49bf1b542bc1-thumbnail-1000x1000-70.jpg
DF-1-W,خلاط مغسلة ابيض - DF-1-W ,79.0,خلاط مغسلة,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/595953a7-e912-43d4-83ae-03dc6aacca1d-thumbnail-1000x1000-70.jpg
DF-2-W,خلاط مغسلة ابيض - DF-2-W ,79.0,<span>خلاط مغسلة </span>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/917294de-d712-42c9-b851-48b25f820c93-thumbnail-1000x1000-70.jpg
DF-3-W,خلاط مغسلة ابيض - DF-3-W ,79.0,خلاط مغسلة اسود,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/7db81128-751d-4349-a53a-b6039ff97bcb-thumbnail-1000x1000-70.jpg
DF-4-W,خلاط مغسلة ابيض - DF-4-W ,79.0,<b>خلاط مغسلة </b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/498a49ea-ea91-421a-b180-9c014b9299de-thumbnail-1000x1000-70.jpg
POP-UP-W,هراب مغسلة ابيض - POP-UP-W,15.0,هراب مغسلة ابيض,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/d9405752-a128-4cc3-a4b9-0c9e4f07ec34-thumbnail-1000x1000-70.jpg
PP10127-WS,خلاط مغسلة ابيض - PP10127-WS,207.0,<b>خلاط مغسلة ابيض قصير</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/6ba01b69-c091-43d4-830e-24e16de5516a-thumbnail-1000x1000-70.jpg
PP10126-G,خلاط مغسلة ذهبي لامع - PP10126-G,115.0,خلاط مغسلة ذهبي,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/003a3632-13a8-445d-b153-5255587924e2-thumbnail-1000x1000.png
