SKU,name,price,short_description,image_large
PP-020,سماعة دش PP-020,54.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/13958a51-530e-4f1a-97ca-916b9502488a-thumbnail-1000x1000-70.jpg
PP-033, نظام دش بلوتو  -PP-033,490.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/c445d08d-6cd0-4a33-a82e-52d15351d3cd-thumbnail-1000x1000-70.jpg
PP-034,نظام دش بلوتو -PP-034,510.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e1b1bf68-7bcc-454b-ba5e-9261d9e39895-thumbnail-1000x1000-70.jpg
PP-021,سماعة دش PP-021,54.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/77164e08-b7aa-47cc-9e9c-b331dac972c5-thumbnail-1000x1000-70.jpg
SH-5,سماعة دش SH-5,50.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/31aff9f8-50f8-4c8e-b16f-a9bbf7210990-thumbnail-1000x1000-70.jpg
SH-4,سماعة دش SH-4,50.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/99c4f984-98a3-4dfd-b32a-141f7a95c8a9-thumbnail-1000x1000-70.jpg
ss-1,أنظمة دش دودو - ss-1,169.0,أنظمة دش دودو,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/c4ce7242-27a4-48c3-803f-f1795b74e6f2-thumbnail-1000x1000-70.jpg
SS-3,أنظمة دش دودو - SS-3,169.0,شاور سيستم كروم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/29ef2e38-22dd-4fb0-9e73-08b5a40010cd-thumbnail-1000x1000-70.jpg
SS- 4-CH,أنظمة دش دودو كروم - ss-4,169.0,أنظمة دش دودو كروم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/dd44041b-0051-4d40-81f3-e9dd34b637fc-thumbnail-1000x1000-70.jpg
LAGS,نظام دش  بلوتو - LAGS,237.0, نظام دش,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/823e03c6-c152-4b58-a76b-baf7d332e297-thumbnail-1000x1000-70.jpg
