SKU,name,price,short_description,image_large
بكج كرسي تعليق مقاس 18 سم - PT-6006,كرسي حمام افرنجي تعليق مقاس 18 سم - PT-6006,499.0,<span></span>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/79910ee2-31ec-4362-a9eb-ce50c32370fe-thumbnail-1000x1000-70.jpg
TL-3,كرسي معلق  يعمل دون خزان  -TL-3,943.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/86b2b5ee-36f9-4b21-a7fd-e1eb4085cae5-thumbnail-1000x1000.png
TL-2, كرسي معلق   يعمل دون خزان  -TL-2,943.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/9ecd038b-6c0e-4cc3-a54f-74595dfb943d-thumbnail-1000x1000-70.jpg
TL-1,  كرسي  ارضي يعمل دون خزان  -TL-1,749.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/d8775506-e94e-4930-b435-78b162fd8c25-thumbnail-1000x1000-70.jpg
ST-4, كرسي ذكي بلوتو -ST-4,1610.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/db845919-7283-42cc-a814-9d78d0fb4dbf-thumbnail-1000x1000-70.jpg
ST-3,كرسي ذكي بلوتو -ST-3,2300.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/578784fc-9e14-423c-94cf-86a51b2e45d5-thumbnail-1000x1000-70.jpg
ST-2,كرسي ذكي بلوتو -ST-2,2300.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/58b3bae9-cf39-4e88-a07d-47092d44047f-thumbnail-1000x1000-70.jpg
ST-1,كرسي ذكي بلوتو -ST-1,1955.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/de8fdb80-8a10-4a72-9095-2a06046ada4c-thumbnail-1000x1000-70.jpg
PT-6010,كرسي تعليق مقاس 18 سم - PT-6010,499.0,- كرسي تعليق مقاس 18 سم- ضغط مياه عالي مع توفير المياه- الغطاء مصنوع من مواد مقاومة للبكتيريا ومفصلات مقاومة للصدأ- اغلاق ناعم -ضمان 5 سنوات,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/730ecee9-d0cd-4b76-9f2d-cfd8d5b0fdef-thumbnail-1000x1000-70.jpg
PT-6015,كرسي تعليق مقاس 18 سم - PT-6015,499.0,كرسي تعليق مقاس 18 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e5e4a39d-bae5-4ee6-9adf-c2e3fd50ffb6-thumbnail-1000x1000-70.jpg
6053,كرسي حمام افرنجي 6053,345.0,كرسي حمام افرنجي,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/ccce8a3c-69a2-41ef-9daa-8ea89d8c839b-thumbnail-1000x1000-70.jpg
PT-6008,كرسي مقاس 18 ,499.0,كرسي تعليق مقاس 18 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f0a11382-3b34-4b5d-8552-c3c8364f8251-thumbnail-1000x1000-70.jpg
6171,كرسي حمام افرنجي 6171,369.0,كرسي حمام افرنجي مقاس 25 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/3964c7fd-313a-4cf3-9b01-260a403a8f79-thumbnail-1000x1000-70.jpg
PT-6006,بكج: كرسي مقاس 18 + سيفون جيبرت + ضغّاط جيبرت,1099.0,<span></span>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/d3c6a001-de66-483b-a4bd-52e006724d25-thumbnail-1000x1000-70.jpg
6184,كرسي حمام افرنجي- 6184,399.0,<span>كرسي حمام افرنجي</span><span></span>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/2f285b6b-aadd-4b43-b4de-0fc63d4c638c-thumbnail-1000x1000-70.jpg
PT-6018,كرسي حمام افرنجي تعليق مقاس 18 سم - PT-6018,499.0,كرسي حمام افرنجي تعليق مقاس 18 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e4ef2ad4-5d3b-4921-9d2c-a5a15bc047d4-thumbnail-1000x1000-70.jpg
6224,كرسي حمام افرنجي مقاس  6224,399.0,كرسي حمام افرنجي مقاس ,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f4944740-a085-4236-8ff7-803c12361de1-thumbnail-1000x1000-70.jpg
6805,كرسي حمام افرنجي مقاس6805,445.0,كرسي حمام افرنجي مقاس 30 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/5ead925c-6509-4215-958f-3405ae530e3c-thumbnail-1000x1000-70.jpg
6807-30,كرسي حمام افرنجي  مقاس 30 سم  - 6807-30,445.0,كرسي حمام افرنجي مقاس 30 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/83c37aec-f9a9-4a19-96d6-d95ea2257e82-thumbnail-1000x1000-70.jpg
DO-8015-25,كرسي حمام افرنجي مقاس 25 سم - DO-8015-25,193.0,كرسي حمام افرنجي مقاس 25 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/862bb33d-d77e-4fda-992c-502bd4a8b10d-thumbnail-1000x1000-70.jpg
