SKU,name,price,short_description,image_large
DO-4-150,مغاسل  دودو 150 سم ديكور + مرايا DO-4-150,1365.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/53e93715-d4f4-4bc5-a585-48d1351bea3b-thumbnail-1000x1000-70.jpg
DO-4-120,مغاسل  دودو 120 سم ديكور + مرايا DO-4-120,1155.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/b0ba7ade-7b59-4dac-bbf5-f54101705bcd-thumbnail-1000x1000-70.jpg
DO-4-80,مغاسل  دودو 80 سم ديكور + مرايا DO-4-80,619.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/4c6f69cb-d505-4fb2-a8fd-0b5a023a13cd-thumbnail-1000x1000-70.jpg
DO-4-60,مغاسل  دودو 60 سم ديكور + مرايا DO-4-60,577.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e42f2a9f-3a34-4070-a4a3-d418f11b4d6b-thumbnail-1000x1000-70.jpg
DO-2-120,مغاسل ديكور 120  سم  حوض+ مرايا DO-2-120 ,799.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/d78c9784-1b9e-43c6-87aa-91d04554f1f8-thumbnail-1000x1000-70.jpg
DO-2-80,مغاسل ديكور 80  سم  حوض+ مرايا DO-2-80 ,345.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f7bc4ceb-09c7-4f72-8643-5d8c90f6f199-thumbnail-1000x1000-70.jpg
DO-2-60,مغاسل ديكور60  سم  حوض+ مرايا DO-2-60 ,299.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/bdcb55b1-3120-4ced-bd56-ad97f13bc762-thumbnail-1000x1000-70.jpg
AR150-80,مغاسل  ديكور ارونا 80 سم  + مرايا  AR150,345.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/208d012e-6367-49dd-9430-76e7bbfee6fc-thumbnail-1000x1000-70.jpg
AR150-60,مغاسل  ديكور ارونا 60 سم  + مرايا  AR150,299.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/01f71819-3969-4584-a555-5f084defe6ed-thumbnail-1000x1000-70.jpg
DO-1-150,مغاسل دودو 150 سم حجر مطفي  DO-1-150,999.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/ff78fa05-eb6f-4ecf-b89e-167092e4328f-thumbnail-1000x1000-70.jpg
