SKU,name,price,short_description,image_large
- 458.234.00.2 - 6018,بكج كرسي مقاس 18 + سيفون جيبرت + ضغّاط جيبرت,1099.0,<span></span>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/85a74e42-b577-44ed-b338-5f1d4b44294c-thumbnail-1000x1000-70.jpg
458.234.00.2 - PT-6008,بكج كرسي تعليق مقاس 18 سم - PT-6008,1099.0,بكج كرسي تعليق مقاس 18 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/614e39b9-029c-483d-a596-93a65d927e06-thumbnail-1000x1000-70.jpg
AR150-80-3- PR30-W,بكج مغسلة أرونا 80 سم مع خلاط أبيض بلوتو ,399.0,,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/cde7bf68-3732-47c3-998c-6a618c622af6-thumbnail-1000x1000-70.jpg
AR150-60-1- PR30-W,بكج مغسلة أرونا 60 سم مع خلاط أبيض بلوتو ,399.0,,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/0dde8ad1-f4f8-4306-8aa4-42eace617352-thumbnail-1000x1000-70.jpg
DO-2-80-3- PR30-W,بكج مغسلة دودو 80 سم  مع خلاط أبيض بلوتو ,399.0,"<p>العرض يشمل :</p>
<p>مغسلة دودو بضمان 3سنوات </p>
<p>مرايا ليد بزر لمس</p>
<p>خلاط أبيض بلوتو بضمان 5سنوات </p>
<p>هراب مع لي إستيل</p>",https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/028a0793-d313-4948-af9f-a0a31f88aab9-thumbnail-1000x1000-70.jpg
DO-2-60-2 - PR-30-W,بكج مغسلة دودو 60 سم  مع خلاط أبيض بلوتو,399.0,"<p>العرض يشمل :</p>
<p>مغسلة دودو بضمان 3سنوات </p>
<p>مرايا ليد بزر لمس  </p>
<p>خلاط أبيض بلوتو بضمان 5سنوات </p>
<p>هراب مع لي إستيل  </p>",https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/9081e80c-47ec-4caa-81f2-b65530faa4df-thumbnail-1000x1000-70.jpg
DF-2-3-4,أطقم خلاطات دودو  DF-2-3-4 ,199.0,<p><span>بكج خلاطات</span><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/bc95dbd0-19f2-45bf-b742-eb664beed58e-thumbnail-1000x1000-70.jpg
DF-4-3-4,أطقم خلاطات  دودو DF-4-3-4- W,199.0,<p><span>بكج خلاطات</span><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/3dc7aa34-56c5-4477-bb07-4cf2cc098fa6-thumbnail-1000x1000-70.jpg
DF-3-3-4,أطقم خلاطات دودو   DF-3-3-4,229.0,<p><span>بكج خلاطات</span><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/8cf6545f-9020-4bc4-b85e-8f7876c179b0-thumbnail-1000x1000-70.jpg
DF-1-3-4,أطقم خلاطات دودو DF-1-3-4,199.0,<p><b>بكج خلاطات</b></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/d550f346-1e65-4944-bf6c-eb22ad7e5cb9-thumbnail-1000x1000-70.jpg
PT-6017,بكج: كرسي مقاس 18 + سيفون جيبرت + ضغّاط جيبرت,1099.0,كرسي حمام افرنجي تعليق مقاس 18 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/eef4c387-435a-4e43-90c7-ec5d40e19212-thumbnail-1000x1000-70.jpg
