SKU,name,price,short_description,image_large
PP-024,خلاط مغسلة مخفي بلوتو PP-024,233.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f714a444-c5b7-4584-a0e7-48b4e526778b-thumbnail-1000x1000-70.jpg
PP-018,حامل شطاف بلوتو PP-018,45.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/334118af-67fd-4877-8255-7c00797f3fbf-thumbnail-1000x1000-70.jpg
PP-023,خلاط مغسلة مخفي بلوتو PP-023,193.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/1d20557e-a1a7-431a-b834-7161f5de65a3-thumbnail-1000x1000-70.jpg
PP-025, محبس زاوية PP-025 ,19.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/da2c7cfc-bc08-4a7e-b915-4641fd2a5e6a-thumbnail-1000x1000-70.jpg
PP-012, صباب جداري بلوتو  PP-012,42.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/52a17e65-11c4-49c3-b70c-a0253d14e3c2-thumbnail-1000x1000-70.jpg
PP-011, صباب جداري بلوتو  PP-011,16.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/58e90f5a-1ee3-488d-94c4-9d9bc1966f55-thumbnail-1000x1000-70.jpg
PP-010,ذراع دش سقف بلوتو  35سم  PP-010,36.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/df13fc2a-5991-4352-8302-0faa728c3958-thumbnail-1000x1000-70.jpg
PP-009,ذراع دش سقف بلوتو  35سم  PP-009,25.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/fc746d54-9be7-410b-9fcd-4d8c564b45bb-thumbnail-1000x1000-70.jpg
PP-008,ذراع دش بلوتو 50 سم  PP-008,41.0,<p><b>ذراع دش مطري جداراي </b><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/5cd40b6d-d666-40e0-864a-f46294312c88-thumbnail-1000x1000-70.jpg
PP-006,ذراع دش بلوتو 40 سم  PP-006,37.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/640d4548-ff06-43b4-a53a-8773f113e7b7-thumbnail-1000x1000-70.jpg
